State            ,16-Feb,Jan-17 Prelim,Feb-17 Initial,% Change vs Jan-17,% Change vs Feb-16
Alabama,"128,220","126,063","122,917",-2.50%,-4.10%
Alaska,"18,913","18,446","18,070",-2.00%,-4.50%
American Samoa,"6,042","5,716","5,696",-0.30%,-5.70%
Arizona,"161,429","150,688","146,085",-3.10%,-9.50%
Arkansas,"79,899","76,349","75,739",-0.80%,-5.20%
California,"1,174,784","1,113,961","1,074,629",-3.50%,-8.50%
Colorado,"86,522","83,691","83,354",-0.40%,-3.70%
Connecticut,"48,351","47,993","46,865",-2.40%,-3.10%
Delaware,"18,210","16,751","16,524",-1.40%,-9.30%
District of Columbia,"14,081","14,029","13,586",-3.20%,-3.50%
Florida,"477,177","472,252","436,692",-7.50%,-8.50%
Georgia,"252,786","242,428","238,233",-1.70%,-5.80%
Guam,"7,151","6,660","6,639",-0.30%,-7.20%
Hawaii,"30,343","28,249","26,858",-4.90%,-11.50%
Idaho,"39,132","36,948","36,675",-0.70%,-6.30%
Illinois,"224,064","214,629","210,192",-2.10%,-6.20%
Indiana,"147,464","144,272","141,586",-1.90%,-4.00%
Iowa,"60,665","62,367","62,104",-0.40%,2.40%
Kansas,"59,238","55,541","53,618",-3.50%,-9.50%
Kentucky,"110,861","108,079","107,839",-0.20%,-2.70%
Louisiana,"128,301","121,010","120,324",-0.60%,-6.20%
Maine,"20,909","19,563","19,022",-2.80%,-9.00%
Maryland,"138,914","135,884","133,762",-1.60%,-3.70%
Massachusetts,"113,624","113,603","111,481",-1.90%,-1.90%
Michigan,"232,684","225,646","222,903",-1.20%,-4.20%
Minnesota,"114,954","111,265","109,750",-1.40%,-4.50%
Mississippi,"83,811","82,810","81,364",-1.70%,-2.90%
Missouri,"128,161","120,810","119,849",-0.80%,-6.50%
Montana,"18,478","17,732","17,337",-2.20%,-6.20%
Nebraska,"38,169","37,852","37,323",-1.40%,-2.20%
Nevada,"70,306","67,728","66,333",-2.10%,-5.70%
New Hampshire,"14,059","13,335","12,920",-3.10%,-8.10%
New Jersey,"154,253","150,512","146,720",-2.50%,-4.90%
New Mexico,"51,997","50,533","50,135",-0.80%,-3.60%
New York,"457,308","442,837","435,908",-1.60%,-4.70%
North Carolina,"239,439","232,374","230,169",-0.90%,-3.90%
North Dakota,"12,881","12,672","12,369",-2.40%,-4.00%
Ohio,"233,203","223,983","221,381",-1.20%,-5.10%
Oklahoma,"109,240","107,271","104,984",-2.10%,-3.90%
Oregon,"90,464","88,814","88,869",0.10%,-1.80%
Pennsylvania,"236,352","225,841","224,671",-0.50%,-4.90%
Puerto Rico,"159,202","142,461","141,279",-0.80%,-11.30%
Rhode Island,"19,853","19,849","19,130",-3.60%,-3.60%
South Carolina,"107,528","101,139","100,658",-0.50%,-6.40%
South Dakota,"19,049","18,395","18,050",-1.90%,-5.20%
Tennessee,"141,243","137,395","136,196",-0.90%,-3.60%
Texas,"858,671","830,654","822,613",-1.00%,-4.20%
Utah,"56,664","54,627","53,984",-1.20%,-4.70%
Vermont,"12,876","11,599","11,515",-0.70%,-10.60%
Virginia,"130,096","124,428","120,721",-3.00%,-7.20%
Virgin Islands,"4,268","3,832","3,830",-0.10%,-10.30%
Washington,"168,323","161,233","157,257",-2.50%,-6.60%
West Virginia,"40,055","38,193","37,223",-2.50%,-7.10%
Wisconsin,"99,349","96,534","94,447",-2.20%,-4.90%
Wyoming,"10,792","10,379","10,095",-2.70%,-6.50%
Northern Marianas,"3,203","3,248","3,209",-1.20%,0.20%
