State / Indian Tribe         ,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016
Alabama,49.87,46.59,45.19,48.34,45.52
Alaska,53.74,50.48,54.64,52.61,52.94
American Samoa,70.18,69.41,70.52,72.94,74.51
Arizona,42.16,42.88,44.09,45.55,44.93
Arkansas,45.79,46.51,43.9,43.81,43.09
California,49.35,46.05,47.21,47.8,46.09
Colorado,40.56,40.61,40.99,41.36,41.03
Connecticut,52.19,42.25,46.22,48.04,43.65
Delaware,40.85,37.85,40.07,40.55,40.07
District of Columbia,44.02,45.18,42.66,44.01,42.83
Florida,44.61,44.62,43.8,42.17,42.03
Georgia,56.06,45.47,40.82,40.03,39.62
Guam,69.57,74.1,77.47,78.62,77.59
Hawaii,53.7,51.97,53.1,51.38,53.08
Idaho,36.84,36.83,36.19,35.28,34.59
Illinois,47.7,48.16,47.81,48.44,52.16
Indiana,37.85,37.26,38.09,38.47,36.17
Iowa,36.8,33.44,36.48,36.86,30.51
Kansas,40.03,37.78,39.59,36.41,37.98
Kentucky,38.56,39.42,40.86,42.72,40.15
Louisiana,51.94,50.18,48.91,48.04,47.14
Maine,41.22,41.06,44.41,45.71,39.69
Maryland,44.88,43.05,41.38,45.14,44.39
Massachusetts,40.83,39.99,39.2,38.25,38.95
Michigan,43.12,40.46,41.23,38.62,38.6
Minnesota,43.22,46.57,43.79,44.07,43.98
Mississippi,54.55,54.05,52.99,53.25,53.73
Missouri,38.94,37.6,38.2,38.22,36.16
Montana,41.91,42.68,38.95,41.4,42.23
Nebraska,43.36,44.72,45.96,43.65,41.36
Nevada,37.98,37.62,37.26,37.03,36.05
New Hampshire,34.45,32.89,32.45,33.05,33.15
New Jersey,52.72,53.48,53.31,53.48,53.48
New Mexico,38.25,36.03,37.54,37,36.06
New York,55.02,54.71,55.29,53.97,53.09
North Carolina,45.14,43.28,46.63,42.84,42.73
North Dakota,48.1,48.92,47.3,47.02,47.21
Ohio,36.02,35.78,35.93,34.76,31.67
Oklahoma,39.88,40.3,40.02,38.67,35.96
Oregon,39.84,39.93,38.83,40.52,37.48
Pennsylvania,48.54,43.94,41.79,45.93,44.19
Puerto Rico,88.57,88.98,83.07,86.38,88.08
Rhode Island,48.16,46.38,44.27,44.23,44.56
South Carolina,46.6,46.26,46.71,45.94,44.96
South Dakota,46.35,47.47,48.7,48.42,46.37
Tennessee,41.84,41.98,44.05,38.23,41.63
Texas,29.3,26.46,29.27,28.89,29.92
Utah,35.79,36.1,36.4,36.87,37.89
Vermont,48.44,49.91,52.9,53.06,47.93
Virginia,32.89,31.21,37.92,30.68,35.36
Virgin Islands,88.33,84.76,76.49,79,79.03
Washington,41.76,41.29,41.96,43.26,42.3
West Virginia,44.01,42.33,39.28,39.22,41.15
Wisconsin,42.84,43.33,44.5,44.73,41.23
Wyoming,33.87,31.69,33.16,30.88,33.54
Northern Marianas,69.35,70.01,71.32,73.22,70.94
